airport_id,AIRPORT,orig_pm
11582,ERV,8365
11587,ESC,4679307
11588,ESD,531444
11592,ESN,3784
11603,EUG,556549826
11612,EVV,82551337
11615,EWB,86569
11617,EWN,13086440
11618,EWR,44646844550
11619,EXI,480
11624,EYW,480922550
11630,FAI,584363109
11632,FAK,126
11637,FAR,346038216
11638,FAT,938756381
11641,FAY,52411923
11646,FBS,174526
11648,FCA,361603752
11650,FCM,28003
11656,FDK,2131
11668,FFO,119328
11675,FID,19277
11689,FL4,2188
11695,FLG,24568895
11697,FLL,18479488015
11699,FLO,2250072
11714,FMY,4530
11719,FNL,2229796
11721,FNT,250018745
11725,FOD,2124567
11726,FOE,4325919
11728,FOK,979340
11732,FPR,17021
11742,FQI,1208
11762,FRD,759405
11764,FRG,1875353
11769,FRR,492
11773,FRY,440
11775,FSD,436036584
11778,FSM,13234781
11789,FTW,1774124
11790,FTY,45226
11811,FVO,762
11823,FWA,256698957
11827,FXE,2815466
11833,FYU,755887
11834,FYV,593302
11840,GAD,3660
11842,GAI,9606
11844,GAL,2259254
11845,GAM,558305
11859,GBH,267836
11862,GBR,3140
11865,GCC,8380888
11867,GCK,11386689
11869,GCN,434668
11870,GCY,628
11879,GDV,437273
11883,GED,31030
11884,GEG,1411438717
11898,GFK,55827555
11899,GFL,17275
11905,GGG,5498076
11908,GGW,544796
11921,GJT,102093990
11924,GKN,39041
11931,GLH,2602748
11939,GLS,819
11941,GLV,112645
11947,GMU,1068
11952,GNU,84418
11953,GNV,103598375
11961,GON,10453
11973,GPT,186264766
11977,GRB,135462596
11980,GRI,48801997
11982,GRK,16972680
11986,GRR,1256126167
11995,GSO,374039892
11996,GSP,517973868
11997,GST,396744
12003,GTF,111709231
12007,GTR,10681584
12012,GUC,18741254
12016,GUM,1608873866
12018,GUP,507707
12054,GYR,912
12055,GYY,1897606
12068,HAO,1002
12070,HAR,2719
12087,HCR,43085
12094,HDN,106455240
12106,HEZ,2601
12108,HFD,1422
12119,HGR,24674575
12124,HHH,38760862
12127,HHR,1758186
12129,HIB,2682307
12130,HIE,238
12132,HII,1160
12136,HIO,30332
12141,HKB,175834
12149,HKY,428755
12153,HLG,718
12156,HLN,42337955
12171,HNH,202656
12173,HNL,22125845733
12174,HNM,59313
12175,HNS,437676
12177,HOB,11115687
12184,HOM,3172539
12187,HOP,177242
12190,HOT,925910
12191,HOU,5377714323
12195,HPB,599763
12197,HPN,986341998
12206,HRL,267937734
12207,HRO,1398024
12211,HSH,277414
12214,HSL,673501
12217,HSV,333495490
12222,HTO,219567
12223,HTS,47135951
12228,HUF,215660
12235,HUS,195960
12244,HVN,459270145
12245,HVR,585958
12247,HWD,12338
12250,HYA,2759869
12252,HYG,188
12253,HYL,3506
12255,HYS,3744113
12264,IAD,25878201627
12265,IAG,56706754
12266,IAH,30821706858
12268,IAN,173082
12278,ICT,469388409
12280,IDA,145287303
12283,IDP,7815
12294,IGG,17221
12297,IGM,2547
12306,II2,2082
12306,LOT,2082
12315,IKO,17168
12317,IKV,154878
12320,ILG,105954255
12321,ILI,564959
12323,ILM,267747369
12324,ILN,4734
12335,IMT,5226048
12337,IN2,28664
12339,IND,3817983621
12343,INL,4047314
12348,INT,338000
12363,IPL,1344311
12365,IPT,33570
12370,CRC,30178
12370,IRC,30178
12375,IRK,888417
12388,ISM,46820
12391,ISP,509112750
12394,ISS,183
12397,ITH,11154419
12402,ITO,145533998
12412,IWD,2031931
12441,JAC,366140293
12448,JAN,266765770
12451,JAX,2371935194
12455,JBR,461107
12460,JCI,2634
12478,JFK,80403796692
12479,JFN,2106
12484,JGG,1368
12492,JHM,306600
12494,JHW,19505
12509,JLA,10902
12511,JLN,7578651
12519,JMS,5763239
12523,JNU,222420541
12544,JQF,65502288
12544,USA,65502288
12553,JRV,328412
12559,JST,4175139
12574,TN8,274080
12583,JZE,6315
12587,JZI,39159
12595,JZQ,612
12598,JZT,16859
12599,JZU,3217
12610,KAE,319532
12615,KAL,329909
12621,KBC,32291
12633,KCC,1360
12635,KCG,14691
12638,KCL,16569
12641,KCQ,21740
12649,KEB,48495
12652,KEH,425029
12653,KEK,21623
12663,KFP,5975
12671,KGK,57687
12676,KGX,44488
12704,KKA,165814
12705,KKB,2564
12708,KKH,174211
12709,KKI,57568
12712,KKL,584
12719,KLG,112833
12720,KLL,9582
12721,KLN,228490
12728,KLW,1226522
12737,KMO,37019
12743,KMY,2268
12748,KNK,195512
12755,KNW,95791
12758,KOA,3176330410
12769,KOT,178503
12771,KOY,9963
12772,KOZ,15512
12773,KPB,306
12774,KPC,2983
12779,KPN,402481
12782,KPR,414
12784,KPV,22489
12785,KPY,182
12786,KQA,8883
12807,KSM,1300248
12815,KTB,8938
12819,KTN,80307457
12822,KTS,160906
12831,KUK,86778
12841,KVC,33705
12844,KVL,227765
12851,KWK,162745
12853,KWN,351220
12854,KWP,2795
12855,KWT,41413
12857,KXA,93
12866,KYK,21462
12868,KYU,102000
12869,KZB,2544
12873,LAA,2124
12878,LAF,1230470
12882,LAL,173995
12884,LAN,34212361
12888,LAR,2978508
12889,LAS,31236567493
12891,LAW,6476533
